G1,G2,G3,G4
0.04670931514799885,0.12617085360920807,0.3121764566037805,(0.8627583403103628+0.06949336937986039j)
0.04639924042759179,0.12596107339452237,0.31408746672554155,(0.959428467483956+0.11543761240719125j)
0.04666599785097306,0.1260820962492466,0.31166989731468453,(0.9171202266331464+0.07520639420232066j)
0.0434177575480606,0.12393632200679917,0.3112098181854561,(0.8946860333841804+0.11655761090783487j)
0.0438550868643071,0.12558101259609844,0.3121447420407033,(0.9337003379750298+0.06263893397660843j)
0.04307556856004245,0.12743467563542166,0.3116595185277692,(0.8783680030151474+0.11183285777522507j)
0.04351637982707278,0.1273291162543886,0.3102856792362907,(0.8870373388750783+0.033523395117127805j)
0.04263696724924,0.1305598994582547,0.31335927804080727,(0.8633767490082002-0.008859879386925498j)
0.04289943507920479,0.13006480347083604,0.31372300141162224,(0.9351830568309214+0.06123374824452618j)
0.04158406595280487,0.13218457339176526,0.318767612201033,(0.9311863453713635+0.13019800589403824j)
0.04200129431293197,0.13261365021782393,0.3138113622700198,(0.9616212123962242+0.0835999792091717j)
0.04272415016897663,0.13260457703570966,0.31176992510500123,(1.0121987960365293+0.007789612316451108j)
0.04229670209882996,0.1344918288744019,0.3145410141280376,(1.048983635561444-0.036240872601692134j)
0.04548908937908331,0.13130882067154678,0.31466089848590517,(0.9926775352086677+0.01831747877151388j)
0.045989027115716966,0.1302720451120397,0.315647593398936,(1.0300289722041502-0.014532439577349612j)
0.04612870199789952,0.13220895411652553,0.31789018078906117,(1.0224094333691942-0.03976350310166611j)
0.04611493469040584,0.13249306949501502,0.315708303213673,(0.9364617798086822-0.0037481596106469974j)
0.04614383936933589,0.13325796771661857,0.3134711993971755,(0.9647399916494872+0.09152082408711323j)
0.046161896217793055,0.13340678375603698,0.3144171621063842,(0.9925071381061433+0.03949234604653566j)
0.04648206586125041,0.13235284053081933,0.31401777914032236,(0.9879074201253298+0.009026432939357348j)
0.04665849275521089,0.13480778731027407,0.3157081813951222,(0.9508803182727809+0.00203676833907542j)
0.046057136240685616,0.13558442690323977,0.3135817484964284,(0.9820170612316129+0.053092468154022715j)
0.038209573868115534,0.13605513249156193,0.3151107258859382,(0.9458965767435173+0.07392201996291381j)
0.032365693811461614,0.13835992168599906,0.3180416220922381,(0.9803171709459891+0.09507573230977906j)
0.032962253812410656,0.13871270768453692,0.31700451641906424,(1.0437652140028906+0.0598745812585806j)
